displacement 1,displacement 2,energy
0,0,[0.]
0,-0.004,[-64.]
0,-0.008,[-96.]
0,-0.012,[-96.]
0,-0.016,[-64.]
0,-0.02,[0.]
0.004,0,[16.]
0.004,-0.004,[-16.]
0.004,-0.008,[-16.]
0.004,-0.012,[16.]
0.004,-0.016,[80.]
0.004,-0.02,[176.]
0.008,0,[64.]
0.008,-0.004,[64.]
0.008,-0.008,[96.]
0.008,-0.012,[160.]
0.008,-0.016,[256.]
0.008,-0.02,[384.]
0.012,0,[144.]
0.012,-0.004,[176.]
0.012,-0.008,[240.]
0.012,-0.012,[336.]
0.012,-0.016,[464.]
0.012,-0.02,[624.]
0.016,0,[256.]
0.016,-0.004,[320.]
0.016,-0.008,[416.]
0.016,-0.012,[544.]
0.016,-0.016,[704.]
0.016,-0.02,[896.]
0.02,0,[400.]
0.02,-0.004,[496.]
0.02,-0.008,[624.]
0.02,-0.012,[784.]
0.02,-0.016,[976.]
0.02,-0.02,[1200.]
